"sppData$Date","Y.WFEC"
2011-01-01,1093.775
2011-01-02,1190.784
2011-01-03,1130.912
2011-01-04,1062.261
2011-01-05,1130.345
2011-01-06,1074.517
2011-01-07,1011.361
2011-01-08,1038.926
2011-01-09,1174.092
2011-01-10,1240.147
2011-01-11,1373.313
2011-01-12,1373.069
2011-01-13,1332.952
2011-01-14,1225.539
2011-01-15,1049.047
2011-01-16,1041.326
2011-01-17,1012.812
2011-01-18,1051.151
2011-01-19,1149.878
2011-01-20,1238.88
2011-01-21,1320.328
2011-01-22,1160.334
2011-01-23,1134.864
2011-01-24,1261.896
2011-01-25,1102.729
2011-01-26,1182.832
2011-01-27,1198.205
2011-01-28,1055.504
2011-01-29,920.394
2011-01-30,1048.013
2011-01-31,1161.442
2011-02-01,1496.881
2011-02-02,1462.499
2011-02-03,1424.231
2011-02-04,1252.62
2011-02-05,1240.339
2011-02-06,1073.801
2011-02-07,1169.724
2011-02-08,1267.16
2011-02-09,1449.984
2011-02-10,1504.313
2011-02-11,1354.719
2011-02-12,1153.192
2011-02-13,992.125
2011-02-14,992.291
2011-02-15,934.633
2011-02-16,894.384
2011-02-17,820.86
2011-02-18,783.91
2011-02-19,781.213
2011-02-20,818.059
2011-02-21,977.03
2011-02-22,1065.013
2011-02-23,862.703
2011-02-24,948.521
2011-02-25,1052.413
2011-02-26,1023.042
2011-02-27,827.818
2011-02-28,916.866
2011-03-01,1031.236
2011-03-02,908.332
2011-03-03,872.533
2011-03-04,828.631
2011-03-05,984.125
2011-03-06,1009.222
2011-03-07,930.177
2011-03-08,915.999
2011-03-09,960.666
2011-03-10,1012.248
2011-03-11,930.208
2011-03-12,780.61
2011-03-13,852.672
2011-03-14,944.38
2011-03-15,1020.753
2011-03-16,857.947
2011-03-17,850.405
2011-03-18,797.499
2011-03-19,785.561
2011-03-20,855.476
2011-03-21,863.897
2011-03-22,857.018
2011-03-23,810.28
2011-03-24,833.421
2011-03-25,786.027
2011-03-26,845.791
2011-03-27,961.926
2011-03-28,940.444
2011-03-29,952.941
2011-03-30,971.342
2011-03-31,975.959
2011-04-01,832.176
2011-04-02,827.734
2011-04-03,932.881
2011-04-04,858.249
2011-04-05,966.393
2011-04-06,870.954
2011-04-07,900.743
2011-04-08,933.981
2011-04-09,990.666
2011-04-10,933.108
2011-04-11,830.138
2011-04-12,864.151
2011-04-13,885.556
2011-04-14,862.897
2011-04-15,778.13
2011-04-16,783.951
2011-04-17,845.576
2011-04-18,991.268
2011-04-19,912.019
2011-04-20,824.857
2011-04-21,813.659
2011-04-22,963.018
2011-04-23,785.283
2011-04-24,775.313
2011-04-25,816.027
2011-04-26,803.759
2011-04-27,834.742
2011-04-28,824.6
2011-04-29,829.11
2011-04-30,789.766
2011-05-01,879.45
2011-05-02,867.689
2011-05-03,879.756
2011-05-04,831.626
2011-05-05,831.637
2011-05-06,865.495
2011-05-07,1026.027
2011-05-08,1092.097
2011-05-09,1145.907
2011-05-10,945.289
