"Year","Month","Day","DATE","Y.WFEC","NAME","PRCP","TMAX","TMIN","TOBS","OilPrice","oilProduction","WoodFordBcfShaleProduction","Monthly Rig Count","Monthly Total Oil Production Anarkado ","Monhtly Total Natural Gas Production Anarkado","tornadoCount","Maximum.Relative.HumidityPct","Minimum.Relative.HumidityPct","Average.Relative.HumidityPct","Minimum.Wind.Chill.Index.Temperature","Maximum.Wind.SpeedMph","Minimum.Wind.SpeedMph","Average.Wind.SpeedMph","Standard.Deviation.of.Wind.Speed.at.10m.Mph","Maximum.Wind.GustMph","Maximum.Wind.Speed.at.2m.Mph","Minimum.Wind.Speed.at.2m.Mph","Average.Wind.Speed.at.2m","Standard.Deviation.of.Wind.Speed.at.2m.Mph","Maximum.Solar.Radiation.MJ.square.meters","Total.Solar.Radiation.MJ.square.meters","TempWeighted","CDDTref","HDDTref","HDDt","CDDt","TetMinus1","effectiveTemp","effectTempCategory","Holidays","Day of Week","WeekendIdentifier"
2011,1,1,2011-01-01,1093.775,"BLANCHARD 2 SSW, OK US",0,8.9,-10,-7.8,91.59,5568,1.239,179,185383.966,4256840.57,0,68.02,22.11,40.18,3.33,15.55,0.12,5.95,3.1,18.86,12.87,0,4.44,2.79,608.18,13.39,-0.55,20,5,5.55,0,0,-3.9,2,1,6,1
2011,1,2,2011-01-02,1190.784,"BLANCHARD 2 SSW, OK US",0,3.3,-10,-9.4,91.59,5568,1.239,179,185383.966,4256840.57,0,82.9,22.51,46.52,2.24,15.62,0.24,7.94,3.85,21.27,13.57,0,5.8,3.51,611.96,13.49,-3.35,20,5,8.35,0,0,-4.7,2,1,7,1
2011,1,3,2011-01-03,1130.912,"BLANCHARD 2 SSW, OK US",0,9.4,-9.4,-1.1,91.59,5568,1.239,179,185383.966,4256840.57,0,83.5,26.82,57.78,12.32,21.5,4.9,11.74,3.38,26.96,17.63,2.91,8.91,3.29,665.27,11.16,0,20,5,5,0,0,-0.55,2,0,1,0
2011,1,4,2011-01-04,1062.261,"BLANCHARD 2 SSW, OK US",0,15,-1.1,0,89.39,5568,1.239,179,185383.966,4256840.57,0,68.23,32.95,51.74,20.33,19.28,0.07,7.43,4.8,24.18,15.45,0,5.79,4.15,592.65,12.9,6.95,20,5,0,0,0,0,2,0,2,0
2011,1,5,2011-01-05,1130.345,"BLANCHARD 2 SSW, OK US",0,10.6,-4.4,-4.4,90.3,5568,1.239,179,185383.966,4256840.57,0,86.4,24.28,55.13,9.56,15.07,0.34,6.12,2.72,17.83,12.46,0,3.88,2.51,603.82,13.2,3.1,20,5,1.9,0,0,-2.2,2,0,3,0
2011,1,6,2011-01-06,1074.517,"BLANCHARD 2 SSW, OK US",0,12.8,-4.4,0.6,88.37,5568,1.239,179,185383.966,4256840.57,0,79.25,19.48,47.77,13.79,13.4,3.21,7.69,1.92,17.76,10.98,0.95,4.83,2.19,601.22,12.85,4.2,20,5,0.8,0,0,0.3,3,0,4,0
2011,1,7,2011-01-07,1011.361,"BLANCHARD 2 SSW, OK US",0,17.2,-1.1,3.3,88.07,5568,1.239,179,185383.966,4256840.57,0,66.37,29,46.99,20.27,22.08,2.88,9.79,4.71,27.92,18.68,0,6.31,5.15,603.82,10.56,8.05,20,5,0,0,0,1.65,3,0,5,0
2011,1,8,2011-01-08,1038.926,"BLANCHARD 2 SSW, OK US",0,17.2,-3.9,-3.9,89.24,5568,1.239,179,185383.966,4256840.57,0,76.1,30.9,52.02,13.85,14.41,0.14,8.55,3.66,18.86,11.93,0,6.25,3.8,598.95,13.15,6.65,20,5,0,0,0,-1.95,2,1,6,1
2011,1,9,2011-01-09,1174.092,"BLANCHARD 2 SSW, OK US",0,8.3,-3.9,0.6,89.24,5568,1.239,179,185383.966,4256840.57,0,100,53.87,82.45,19.53,23.29,7.97,14.73,3.29,29.82,18.88,5.34,11.85,3,166.13,1.45,2.2,20,5,2.8,0,0,0.3,3,1,7,1
2011,1,10,2011-01-10,1240.147,"BLANCHARD 2 SSW, OK US",0.3,1.1,-2.8,-2.8,89.24,5568,1.239,179,185383.966,4256840.57,0,100,72.47,91.46,2.53,-996,-996,-996,-996,32.44,-996,-996,-996,-996,127.26,1.79,-0.85,20,5,5.85,0,0,-1.4,2,0,1,0
2011,1,11,2011-01-11,1373.313,"BLANCHARD 2 SSW, OK US",0.5,0.6,-12.2,-11.7,91.11,5568,1.239,179,185383.966,4256840.57,0,85.7,34.21,61.18,-4.07,16.18,0.53,7.1,3.69,20.98,12.31,0,5.24,2.82,627.24,13.98,-5.8,20,5,10.8,0,0,-5.85,2,0,2,0
2011,1,12,2011-01-12,1373.069,"BLANCHARD 2 SSW, OK US",0,-1.1,-12.2,-10.6,91.85,5568,1.239,179,185383.966,4256840.57,0,80.3,35.66,54.7,3.77,14.48,0.34,5.66,3.21,17.83,12.32,0,4.12,2.92,485.2,8.4,-6.65,20,5,11.65,0,0,-5.3,2,0,3,0
2011,1,13,2011-01-13,1332.952,"BLANCHARD 2 SSW, OK US",0,-1.1,-11.7,-6.7,91.39,5568,1.239,179,185383.966,4256840.57,0,67.12,32.14,50.12,10.09,19.13,4.83,9.85,3.57,25.37,15.7,2.66,7.49,3.41,655.53,12.98,-6.4,20,5,11.4,0,0,-3.35,2,0,4,0
2011,1,14,2011-01-14,1225.539,"BLANCHARD 2 SSW, OK US",0,6.7,-7.8,-5.6,91.53,5568,1.239,179,185383.966,4256840.57,0,93.2,48.35,71.32,8.72,15.49,5.31,9.35,1.86,20.38,12.85,3.24,6.67,2.43,608.69,13.5,-0.55,20,5,5.55,0,0,-2.8,2,0,5,0
2011,1,15,2011-01-15,1049.047,"BLANCHARD 2 SSW, OK US",0,11.7,-6.1,-2.2,91.38,5568,1.239,179,185383.966,4256840.57,0,95.1,33.56,73.77,10.63,10.56,0.19,5.5,2.68,12.79,7.29,0,3.57,2,616.91,13.77,2.8,20,5,2.2,0,0,-1.1,2,1,6,1
2011,1,16,2011-01-16,1041.326,"BLANCHARD 2 SSW, OK US",0,15,-2.2,-1.1,91.38,5568,1.239,179,185383.966,4256840.57,0,99,60.46,79.13,19.49,18.68,0.07,8.28,4.86,22.95,16.11,0,6.5,4.45,316.14,6.02,6.4,20,5,0,0,0,-0.55,2,1,7,1
2011,1,17,2011-01-17,1012.812,"BLANCHARD 2 SSW, OK US",0,10,-1.1,-1.1,91.38,5568,1.239,179,185383.966,4256840.57,0,100,44.68,82.09,17.62,15.92,0.4,5.89,2.62,21.99,13.22,0,4.19,2.52,622.88,9.62,4.45,20,5,0.55,0,0,-0.55,2,0,1,0
2011,1,18,2011-01-18,1051.151,"BLANCHARD 2 SSW, OK US",0,16.1,-1.1,3.3,91.38,5568,1.239,179,185383.966,4256840.57,0,92.5,61.28,76.12,22.52,22.15,1.79,10.72,4.42,30.53,18.43,0.54,8.24,4.33,682.48,11.91,7.5,20,5,0,0,0,1.65,3,0,2,0
2011,1,19,2011-01-19,1149.878,"BLANCHARD 2 SSW, OK US",0,11.1,-2.2,-2.2,90.85,5568,1.239,179,185383.966,4256840.57,0,93,49,71.78,16.72,33.62,0.93,15.38,6.8,44.72,28.12,0,12.31,6.01,736.2,12.48,4.45,20,5,0.550000000000001,0,0,-1.1,2,0,3,0
2011,1,20,2011-01-20,1238.88,"BLANCHARD 2 SSW, OK US",1.8,11.1,-8.3,-8.3,88.56,5568,1.239,179,185383.966,4256840.57,0,93.2,40.14,67.32,8.28,-996,-996,-996,-996,43.69,-996,-996,-996,-996,639.83,13.69,1.4,20,5,3.6,0,0,-4.15,2,0,4,0
2011,1,21,2011-01-21,1320.328,"BLANCHARD 2 SSW, OK US",0,0,-9.4,-7.8,88.22,5568,1.239,179,185383.966,4256840.57,0,91.7,30.41,60.9,3.77,16.25,0.07,7.75,3.36,20.47,13.53,0,5.58,3.22,634.71,12.17,-4.7,20,5,9.7,0,0,-3.9,2,0,5,0
2011,1,22,2011-01-22,1160.334,"BLANCHARD 2 SSW, OK US",0,7.8,-7.8,-3.3,86.74,5568,1.239,179,185383.966,4256840.57,0,87.5,16.07,48.18,11.34,31.25,3.36,11.93,7.05,38.52,25.05,0,8.67,6.35,737.88,10.92,0,20,5,5,0,0,-1.65,2,1,6,1
2011,1,23,2011-01-23,1134.864,"BLANCHARD 2 SSW, OK US",0,13.3,-3.3,-2.2,86.74,5568,1.239,179,185383.966,4256840.57,0,75.9,41.45,56.1,14.88,22.55,2.57,13.16,4.89,28.5,18.21,0,10.21,4.79,754.67,12.25,5,20,5,0,0,0,-1.1,2,1,7,1
2011,1,24,2011-01-24,1261.896,"BLANCHARD 2 SSW, OK US",0,10.6,-8.9,-8.9,86.74,5568,1.239,179,185383.966,4256840.57,0,86.8,33.73,62.31,7.78,22.86,2.78,11.4,5.7,29.95,18.84,0,8.93,5.1,613.64,10.46,0.85,20,5,4.15,0,0,-4.45,2,0,1,0
2011,1,25,2011-01-25,1102.729,"BLANCHARD 2 SSW, OK US",0,13.3,-8.9,1.1,85.08,5568,1.239,179,185383.966,4256840.57,0,97.2,32.7,67.56,19.57,17.11,2.67,7.73,2.34,22.86,13.86,2.25,5.43,2.19,669.8,15.18,2.2,20,5,2.8,0,0,0.55,3,0,2,0
2011,1,26,2011-01-26,1182.832,"BLANCHARD 2 SSW, OK US",0,11.1,-2.2,-2.2,86.15,5568,1.239,179,185383.966,4256840.57,0,89.4,30.37,59.84,7.97,17.44,2.02,8.03,3.85,22.5,14.95,0,5.38,4.07,661.99,-996,4.45,20,5,0.550000000000001,0,0,-1.1,2,0,3,0
2011,1,27,2011-01-27,1198.205,"BLANCHARD 2 SSW, OK US",0,12.8,-5,-3.3,84.45,5568,1.239,179,185383.966,4256840.57,0,91.3,14.08,54.24,9.26,15.48,3.98,7.49,2.61,19.51,12.97,0,4.95,3.01,679.12,15.48,3.9,20,5,1.1,0,0,-1.65,2,0,4,0
2011,1,28,2011-01-28,1055.504,"BLANCHARD 2 SSW, OK US",0,18.9,-3.3,3.3,88.15,5568,1.239,179,185383.966,4256840.57,0,76.65,10.47,40.98,20.35,16.66,2.59,8.75,2.94,21.12,14.07,1.23,5.37,2.86,681.64,15.62,7.8,20,5,0,0,0,1.65,3,0,5,0
2011,1,29,2011-01-29,920.394,"BLANCHARD 2 SSW, OK US",0,25.6,3.3,6.7,90.99,5568,1.239,179,185383.966,4256840.57,0,45.99,8.37,25.71,20.88,18.43,0.42,8.15,4.38,24.18,15.32,0,5.64,3.66,698.43,16.05,14.45,20,5,0,0,0,3.35,3,1,6,1
2011,1,30,2011-01-30,1048.013,"BLANCHARD 2 SSW, OK US",0,25.6,2.8,6.7,90.99,5568,1.239,179,185383.966,4256840.57,0,85.5,30.68,70.09,20.92,31.43,2.71,15.1,6.73,39.46,25.9,1.26,12.48,5.84,689.19,7.88,14.2,20,5,0,0,0,3.35,3,1,7,1
2011,1,31,2011-01-31,1161.442,"BLANCHARD 2 SSW, OK US",7.6,6.7,0,0,90.99,5568,1.239,179,185383.966,4256840.57,0,85.6,64.69,76.32,1.6,35.12,0.13,13.79,10.11,46.19,27.89,0,11.47,8.2,472.19,6.47,3.35,20,5,1.65,0,0,0,2,0,1,0
2011,2,1,2011-02-01,1496.881,"BLANCHARD 2 SSW, OK US",7.6,7.2,-13.3,-13.3,89.54,5591,1.203,175,168875.523,4100753.85,1,92.5,61.28,77.78,-14.54,39.28,17.72,27.67,4.96,48.52,32.77,14.04,22.72,4.27,-996,-996,-3.05,20,5,8.05,0,0,-6.65,2,0,2,0
2011,2,2,2011-02-02,1462.499,"BLANCHARD 2 SSW, OK US",19.1,-11.7,-16.1,-16.1,89.78,5591,1.203,175,168875.523,4100753.85,1,70.27,48.36,61.14,-14.67,24.87,6.67,15.72,4.34,31.85,20.54,3.91,12.78,4.08,-996,-996,-13.9,20,5,18.9,0,0,-8.05,2,0,3,0
2011,2,3,2011-02-03,1424.231,"BLANCHARD 2 SSW, OK US",0,-8.9,-16.1,-16.1,89.42,5591,1.203,175,168875.523,4100753.85,1,80.1,35.22,60.19,-10.63,11.32,0.63,5.87,2.28,15.35,9.28,0.2,4.66,1.81,-996,-996,-12.5,20,5,17.5,0,0,-8.05,2,0,4,0
2011,2,4,2011-02-04,1252.62,"BLANCHARD 2 SSW, OK US",0,-6.1,-16.1,-8.9,87.87,5591,1.203,175,168875.523,4100753.85,1,93.3,57.64,75.42,9.72,11.16,2.56,6.57,1.9,14.76,9.35,2.21,4.84,1.5,-996,-996,-11.1,20,5,16.1,0,0,-4.45,2,0,5,0
2011,2,5,2011-02-05,1240.339,"BLANCHARD 2 SSW, OK US",2.5,-1.7,-9.4,-9.4,86.3,5591,1.203,175,168875.523,4100753.85,1,89.2,32.49,67.9,11.41,14.37,1.58,6.41,2.64,18.19,11.03,0,4.37,2.43,-996,-996,-5.55,20,5,10.55,0,0,-4.7,2,1,6,1
2011,2,6,2011-02-06,1073.801,"BLANCHARD 2 SSW, OK US",3.8,11.1,-9.4,3.3,86.3,5591,1.203,175,168875.523,4100753.85,1,88.6,56.77,74.7,27.66,23.13,2.23,13.55,4.88,29.66,18.95,0.17,10.5,4.65,-996,-996,0.85,20,5,4.15,0,0,1.65,3,1,7,1
2011,2,7,2011-02-07,1169.724,"BLANCHARD 2 SSW, OK US",0.5,6.7,-2.2,-2.2,86.3,5591,1.203,175,168875.523,4100753.85,1,92.5,32.58,66.17,14.07,18.84,3.85,10.23,3.01,23.38,14.36,3.23,7.68,2.37,-996,-996,2.25,20,5,2.75,0,0,-1.1,2,0,1,0
2011,2,8,2011-02-08,1267.16,"BLANCHARD 2 SSW, OK US",0,6.7,-2.2,-1.1,85.85,5591,1.203,175,168875.523,4100753.85,1,87.6,45.98,67.43,-14.23,34.4,9.66,20.32,6.83,45.01,29.15,7,16.56,5.81,-996,-996,2.25,20,5,2.75,0,0,-0.55,2,0,2,0
2011,2,9,2011-02-09,1449.984,"BLANCHARD 2 SSW, OK US",7.6,6.1,-15,-14.4,85.59,5591,1.203,175,168875.523,4100753.85,1,87.6,50.43,72.34,-17.23,31.29,2.7,18.96,7.4,37.27,25.26,0,15.03,7.02,-996,-996,-4.45,20,5,9.45,0,0,-7.2,2,0,3,0
