STATION,NAME,DATE,DAPR,EVAP,MDPR,MNPN,MXPN,PRCP,SN32,SNOW,SNWD,SX32,TMAX,TMIN,TOBS,WDMV,WESD,WESF,WT01,WT03,WT04,WT05,WT06,WT11
USC00348042,"SEMINOLE, OK US",2011-01-01,,,,,,0,,,,,12.8,-6.7,-6.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-01-02,,,,,,0,,,,,5.6,-10,-10,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-01-03,,,,,,0,,,,,7.8,-10.6,-1.1,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-01-04,,,,,,0,,,,,15,-1.1,0.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-01-05,,,,,,0,,0,0,,11.7,-3.9,-3.9,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-01-06,,,,,,0,,,,,15.6,-3.9,-1.1,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-01-07,,,,,,0,,0,0,,17.2,-1.1,3.9,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-01-08,,,,,,0,,,,,13.3,-4.4,-4.4,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-01-09,,,,,,0,,0,0,,9.4,-5,0,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-01-10,,,,,,2,,25,0,,1.1,-3.3,-3.3,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-01-11,,,,,,0,,,,,0,-11.1,-11.1,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-01-12,,,,,,0,,,,,1.7,-11.7,-11.1,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-01-13,,,,,,0,,,,,1.7,-12.8,-11.1,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-01-14,,,,,,0,,0,0,,4.4,-11.1,-5.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-01-15,,,,,,0,,,,,10.6,-5.6,-0.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-01-16,,,,,,0,,0,0,,11.7,-0.6,-0.6,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-01-17,,,,,,0,,,,,11.7,-1.7,2.8,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-01-18,,,,,,0.5,,0,0,,11.7,1.1,3.3,,,,1,,,,,
USC00348042,"SEMINOLE, OK US",2011-01-19,,,,,,0,,,,,11.7,-3.9,-3.9,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-01-20,,,,,,0,,,,,11.1,-6.1,-6.1,,,,,,1,,,
USC00348042,"SEMINOLE, OK US",2011-01-21,,,,,,1.3,,25,0,,0,-11.7,-8.9,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-01-22,,,,,,0,,,,,4.4,-8.9,-5,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-01-23,,,,,,0,,0,0,,12.8,-6.1,3.3,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-01-24,,,,,,0,,0,0,,12.8,-10,-9.4,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-01-25,,,,,,0,,0,0,,11.7,-9.4,1.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-01-26,,,,,,0,,,,,12.8,-5.6,-3.3,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-01-27,,,,,,0,,0,0,,13.9,-6.7,-6.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-01-28,,,,,,0,,,,,20,-7.2,-1.1,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-01-29,,,,,,0,,,,,24.4,-2.2,7.2,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-01-30,,,,,,0,,,,,24.4,3.3,3.3,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-01-31,,,,,,0,,0,0,,6.1,1.7,1.7,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-02-01,,,,,,20.3,,203,203,,11.7,-14.4,-14.4,,,,,,1,,,
USC00348042,"SEMINOLE, OK US",2011-02-02,,,,,,0,,0,0,,-10,-14.4,-14.4,,,,,,,,,
USC00348042,"SEMINOLE, OK US",2011-02-03,,,,,,0,,0,0,,-7.2,-16.1,-16.1,,,,,,,,,
