Year,Month,Day,Maximum Relative HumidityPct,Minimum Relative HumidityPct,Average Relative HumidityPct,Minimum Wind Chill Index Temperature,Maximum Wind SpeedMph,Minimum Wind SpeedMph,Average Wind SpeedMph,Standard Deviation of Wind Speed at 10m Mph,Maximum Wind GustMph,Maximum Wind Speed at 2m Mph,Minimum Wind Speed at 2m Mph,Average Wind Speed at 2m,Standard Deviation of Wind Speed at 2m Mph,Maximum Solar Radiation MJ/square meters,Total Solar Radiation MJ/square meters
2011,1,1,68.02,22.11,40.18,3.33,15.55,0.12,5.95,3.1,18.86,12.87,0,4.44,2.79,608.18,13.39
2011,1,2,82.9,22.51,46.52,2.24,15.62,0.24,7.94,3.85,21.27,13.57,0,5.8,3.51,611.96,13.49
2011,1,3,83.5,26.82,57.78,12.32,21.5,4.9,11.74,3.38,26.96,17.63,2.91,8.91,3.29,665.27,11.16
2011,1,4,68.23,32.95,51.74,20.33,19.28,0.07,7.43,4.8,24.18,15.45,0,5.79,4.15,592.65,12.9
2011,1,5,86.4,24.28,55.13,9.56,15.07,0.34,6.12,2.72,17.83,12.46,0,3.88,2.51,603.82,13.2
2011,1,6,79.25,19.48,47.77,13.79,13.4,3.21,7.69,1.92,17.76,10.98,0.95,4.83,2.19,601.22,12.85
2011,1,7,66.37,29,46.99,20.27,22.08,2.88,9.79,4.71,27.92,18.68,0,6.31,5.15,603.82,10.56
2011,1,8,76.1,30.9,52.02,13.85,14.41,0.14,8.55,3.66,18.86,11.93,0,6.25,3.8,598.95,13.15
2011,1,9,100,53.87,82.45,19.53,23.29,7.97,14.73,3.29,29.82,18.88,5.34,11.85,3,166.13,1.45
2011,1,10,100,72.47,91.46,2.53,-996,-996,-996,-996,32.44,-996,-996,-996,-996,127.26,1.79
2011,1,11,85.7,34.21,61.18,-4.07,16.18,0.53,7.1,3.69,20.98,12.31,0,5.24,2.82,627.24,13.98
2011,1,12,80.3,35.66,54.7,3.77,14.48,0.34,5.66,3.21,17.83,12.32,0,4.12,2.92,485.2,8.4
2011,1,13,67.12,32.14,50.12,10.09,19.13,4.83,9.85,3.57,25.37,15.7,2.66,7.49,3.41,655.53,12.98
2011,1,14,93.2,48.35,71.32,8.72,15.49,5.31,9.35,1.86,20.38,12.85,3.24,6.67,2.43,608.69,13.5
2011,1,15,95.1,33.56,73.77,10.63,10.56,0.19,5.5,2.68,12.79,7.29,0,3.57,2,616.91,13.77
2011,1,16,99,60.46,79.13,19.49,18.68,0.07,8.28,4.86,22.95,16.11,0,6.5,4.45,316.14,6.02
2011,1,17,100,44.68,82.09,17.62,15.92,0.4,5.89,2.62,21.99,13.22,0,4.19,2.52,622.88,9.62
2011,1,18,92.5,61.28,76.12,22.52,22.15,1.79,10.72,4.42,30.53,18.43,0.54,8.24,4.33,682.48,11.91
2011,1,19,93,49,71.78,16.72,33.62,0.93,15.38,6.8,44.72,28.12,0,12.31,6.01,736.2,12.48
